Municipality|Ward_Name|Ward_Number|Contest|Candidate|Votes
City of Kenosha|Wards 31|31|Party Preference Section|Wisconsin Green|1
City of Kenosha|Wards 31|31|Party Preference Section|Constitution|0
City of Kenosha|Wards 31|31|Party Preference Section|Libertarian|0
City of Kenosha|Wards 31|31|DEM United States Senator|Tammy Baldwin|157
City of Kenosha|Wards 31|31|DEM United States Senator|Write-In|0
City of Kenosha|Wards 31|31|DEM Representative in Congress|Peter Barca|149
City of Kenosha|Wards 31|31|DEM Representative in Congress|Write-In|2
City of Kenosha|Wards 31|31|DEM State Senator District 22|Robert W. Wirch|156
City of Kenosha|Wards 31|31|DEM State Senator District 22|Write-In|1
City of Kenosha|Wards 31|31|DEM Representative to the Assembly District 65|Ben DeSmidt|106
City of Kenosha|Wards 31|31|DEM Representative to the Assembly District 65|Kyle Flood|43
City of Kenosha|Wards 31|31|DEM Representative to the Assembly District 65|Write-In|1
City of Kenosha|Wards 31|31|DEM District Attorney|Carli McNeill|147
City of Kenosha|Wards 31|31|DEM District Attorney|Write-In|1
City of Kenosha|Wards 31|31|DEM County Clerk|Regi Waligora|144
City of Kenosha|Wards 31|31|DEM County Clerk|Write-In|0
City of Kenosha|Wards 31|31|DEM County Treasurer|Teri Jacobson|147
City of Kenosha|Wards 31|31|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 31|31|DEM Register of Deeds|Jennifer Mack|145
City of Kenosha|Wards 31|31|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 31|31|REP United States Senator|Eric Hovde|62
City of Kenosha|Wards 31|31|REP United States Senator|Charles E. Barman|12
City of Kenosha|Wards 31|31|REP United States Senator|Rejani Raveendran|5
City of Kenosha|Wards 31|31|REP United States Senator|Write-In|0
City of Kenosha|Wards 31|31|REP Representative in Congress|Bryan Steil|71
City of Kenosha|Wards 31|31|REP Representative in Congress|Write-In|1
City of Kenosha|Wards 31|31|REP State Senator District 22|Write-In|3
City of Kenosha|Wards 31|31|REP Representative to the Assembly District 65|Brian Gonzales|66
City of Kenosha|Wards 31|31|REP Representative to the Assembly District 65|Write-In|1
City of Kenosha|Wards 31|31|REP District Attorney|Xavier Solis|62
City of Kenosha|Wards 31|31|REP District Attorney|Write-In|2
City of Kenosha|Wards 31|31|REP County Clerk|Write-In|4
City of Kenosha|Wards 31|31|REP County Treasurer|Write-In|3
City of Kenosha|Wards 31|31|REP Register of Deeds|Write-In|3
City of Kenosha|Wards 31|31|CON United States Senator|Write-In|0
City of Kenosha|Wards 31|31|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 31|31|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 31|31|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 31|31|CON District Attorney|Write-In|0
City of Kenosha|Wards 31|31|CON County Clerk|Write-In|0
City of Kenosha|Wards 31|31|CON County Treasurer|Write-In|0
City of Kenosha|Wards 31|31|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 31|31|LIB United States Senator|Write-In|0
City of Kenosha|Wards 31|31|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 31|31|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 31|31|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 31|31|LIB District Attorney|Write-In|0
City of Kenosha|Wards 31|31|LIB County Clerk|Write-In|0
City of Kenosha|Wards 31|31|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 31|31|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 31|31|GRN United States Senator|Write-In|0
City of Kenosha|Wards 31|31|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 31|31|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 31|31|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 31|31|GRN Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 31|31|GRN District Attorney|Write-In|0
City of Kenosha|Wards 31|31|GRN County Clerk|Write-In|0
City of Kenosha|Wards 31|31|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 31|31|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 31|31|State Referendum - Question 1|No|159
City of Kenosha|Wards 31|31|State Referendum - Question 1|Yes|77
City of Kenosha|Wards 31|31|State Referendum - Question 2|No|159
City of Kenosha|Wards 31|31|State Referendum - Question 2|Yes|80
City of Kenosha|Wards 32|32|Party Preference Section|Democratic|103
City of Kenosha|Wards 32|32|Party Preference Section|Republican|48
City of Kenosha|Wards 32|32|Party Preference Section|Constitution|0
City of Kenosha|Wards 32|32|Party Preference Section|Libertarian|0
City of Kenosha|Wards 32|32|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 32|32|DEM United States Senator|Tammy Baldwin|100
City of Kenosha|Wards 32|32|DEM United States Senator|Write-In|0
City of Kenosha|Wards 32|32|DEM Representative in Congress|Peter Barca|100
City of Kenosha|Wards 32|32|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 32|32|DEM State Senator District 22|Robert W. Wirch|101
City of Kenosha|Wards 32|32|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 32|32|DEM Representative to the Assembly District 65|Ben DeSmidt|72
City of Kenosha|Wards 32|32|DEM Representative to the Assembly District 65|Kyle Flood|30
City of Kenosha|Wards 32|32|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 32|32|DEM District Attorney|Carli McNeill|97
City of Kenosha|Wards 32|32|DEM District Attorney|Write-In|0
City of Kenosha|Wards 32|32|DEM County Clerk|Regi Waligora|96
City of Kenosha|Wards 32|32|DEM County Clerk|Write-In|0
City of Kenosha|Wards 32|32|DEM County Treasurer|Teri Jacobson|95
City of Kenosha|Wards 32|32|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 32|32|DEM Register of Deeds|Jennifer Mack|97
City of Kenosha|Wards 32|32|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 32|32|REP United States Senator|Eric Hovde|43
City of Kenosha|Wards 32|32|REP United States Senator|Charles E. Barman|4
City of Kenosha|Wards 32|32|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 32|32|REP United States Senator|Write-In|0
City of Kenosha|Wards 32|32|REP Representative in Congress|Bryan Steil|44
City of Kenosha|Wards 32|32|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 32|32|REP State Senator District 22|Write-In|1
City of Kenosha|Wards 32|32|REP Representative to the Assembly District 65|Brian Gonzales|41
City of Kenosha|Wards 32|32|REP Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 32|32|REP District Attorney|Xavier Solis|42
City of Kenosha|Wards 32|32|REP District Attorney|Write-In|0
City of Kenosha|Wards 32|32|REP County Clerk|Write-In|2
City of Kenosha|Wards 32|32|REP County Treasurer|Write-In|1
City of Kenosha|Wards 32|32|REP Register of Deeds|Write-In|1
City of Kenosha|Wards 32|32|CON United States Senator|Write-In|0
City of Kenosha|Wards 32|32|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 32|32|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 32|32|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 32|32|CON District Attorney|Write-In|0
City of Kenosha|Wards 32|32|CON County Clerk|Write-In|0
City of Kenosha|Wards 32|32|CON County Treasurer|Write-In|0
City of Kenosha|Wards 32|32|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 32|32|LIB United States Senator|Write-In|0
City of Kenosha|Wards 32|32|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 32|32|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 32|32|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 32|32|LIB District Attorney|Write-In|0
City of Kenosha|Wards 32|32|LIB County Clerk|Write-In|0
City of Kenosha|Wards 32|32|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 32|32|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 32|32|GRN United States Senator|Write-In|0
City of Kenosha|Wards 32|32|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 32|32|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 32|32|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 32|32|GRN Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 32|32|GRN District Attorney|Write-In|0
City of Kenosha|Wards 32|32|GRN County Clerk|Write-In|0
City of Kenosha|Wards 32|32|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 32|32|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 32|32|State Referendum - Question 1|No|107
City of Kenosha|Wards 32|32|State Referendum - Question 1|Yes|46
City of Kenosha|Wards 32|32|State Referendum - Question 2|No|103
City of Kenosha|Wards 32|32|State Referendum - Question 2|Yes|53
City of Kenosha|Wards 33|33|Party Preference Section|Democratic|281
City of Kenosha|Wards 33|33|Party Preference Section|Republican|196
City of Kenosha|Wards 33|33|Party Preference Section|Constitution|0
City of Kenosha|Wards 33|33|Party Preference Section|Libertarian|0
City of Kenosha|Wards 33|33|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 33|33|DEM United States Senator|Tammy Baldwin|274
City of Kenosha|Wards 33|33|DEM United States Senator|Write-In|0
City of Kenosha|Wards 33|33|DEM Representative in Congress|Peter Barca|270
City of Kenosha|Wards 33|33|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 33|33|DEM State Senator District 22|Robert W. Wirch|273
City of Kenosha|Wards 33|33|DEM State Senator District 22|Write-In|1
City of Kenosha|Wards 33|33|DEM Representative to the Assembly District 65|Ben DeSmidt|192
City of Kenosha|Wards 33|33|DEM Representative to the Assembly District 65|Kyle Flood|79
City of Kenosha|Wards 33|33|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 33|33|DEM District Attorney|Carli McNeill|263
City of Kenosha|Wards 33|33|DEM District Attorney|Write-In|0
City of Kenosha|Wards 33|33|DEM County Clerk|Regi Waligora|260
City of Kenosha|Wards 33|33|DEM County Clerk|Write-In|0
City of Kenosha|Wards 33|33|DEM County Treasurer|Teri Jacobson|259
City of Kenosha|Wards 33|33|DEM County Treasurer|Write-In|1
City of Kenosha|Wards 33|33|DEM Register of Deeds|Jennifer Mack|257
City of Kenosha|Wards 33|33|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 33|33|REP United States Senator|Eric Hovde|182
City of Kenosha|Wards 33|33|REP United States Senator|Charles E. Barman|9
City of Kenosha|Wards 33|33|REP United States Senator|Rejani Raveendran|9
City of Kenosha|Wards 33|33|REP United States Senator|Write-In|2
City of Kenosha|Wards 33|33|REP Representative in Congress|Bryan Steil|192
City of Kenosha|Wards 33|33|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 33|33|REP State Senator District 22|Write-In|6
City of Kenosha|Wards 33|33|REP Representative to the Assembly District 65|Brian Gonzales|171
City of Kenosha|Wards 33|33|REP Representative to the Assembly District 65|Write-In|2
City of Kenosha|Wards 33|33|REP District Attorney|Xavier Solis|171
City of Kenosha|Wards 33|33|REP District Attorney|Write-In|1
City of Kenosha|Wards 33|33|REP County Clerk|Write-In|5
City of Kenosha|Wards 33|33|REP County Treasurer|Write-In|4
City of Kenosha|Wards 33|33|REP Register of Deeds|Write-In|4
City of Kenosha|Wards 33|33|CON United States Senator|Write-In|0
City of Kenosha|Wards 33|33|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 33|33|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 33|33|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 33|33|CON District Attorney|Write-In|0
City of Kenosha|Wards 33|33|CON County Clerk|Write-In|0
City of Kenosha|Wards 33|33|CON County Treasurer|Write-In|0
City of Kenosha|Wards 33|33|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 33|33|LIB United States Senator|Write-In|0
City of Kenosha|Wards 33|33|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 33|33|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 33|33|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 33|33|LIB District Attorney|Write-In|0
City of Kenosha|Wards 33|33|LIB County Clerk|Write-In|0
City of Kenosha|Wards 33|33|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 33|33|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 33|33|GRN United States Senator|Write-In|0
City of Kenosha|Wards 33|33|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 33|33|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 33|33|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 33|33|GRN Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 33|33|GRN District Attorney|Write-In|0
City of Kenosha|Wards 33|33|GRN County Clerk|Write-In|0
City of Kenosha|Wards 33|33|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 33|33|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 33|33|State Referendum - Question 1|No|267
City of Kenosha|Wards 33|33|State Referendum - Question 1|Yes|216
City of Kenosha|Wards 33|33|State Referendum - Question 2|No|280
City of Kenosha|Wards 33|33|State Referendum - Question 2|Yes|209
City of Kenosha|Wards 34|34|Party Preference Section|Democratic|235
City of Kenosha|Wards 34|34|Party Preference Section|Republican|135
City of Kenosha|Wards 34|34|Party Preference Section|Libertarian|1
City of Kenosha|Wards 34|34|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 34|34|Party Preference Section|Constitution|0
City of Kenosha|Wards 34|34|DEM United States Senator|Tammy Baldwin|230
City of Kenosha|Wards 34|34|DEM United States Senator|Write-In|0
City of Kenosha|Wards 34|34|DEM Representative in Congress|Peter Barca|227
City of Kenosha|Wards 34|34|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 34|34|DEM State Senator District 22|Robert W. Wirch|224
City of Kenosha|Wards 34|34|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 34|34|DEM Representative to the Assembly District 65|Ben DeSmidt|132
City of Kenosha|Wards 34|34|DEM Representative to the Assembly District 65|Kyle Flood|83
City of Kenosha|Wards 34|34|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 34|34|DEM District Attorney|Carli McNeill|217
City of Kenosha|Wards 34|34|DEM District Attorney|Write-In|0
City of Kenosha|Wards 34|34|DEM County Clerk|Regi Waligora|210
City of Kenosha|Wards 34|34|DEM County Clerk|Write-In|0
City of Kenosha|Wards 34|34|DEM County Treasurer|Teri Jacobson|216
City of Kenosha|Wards 34|34|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 34|34|DEM Register of Deeds|Jennifer Mack|208
City of Kenosha|Wards 34|34|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 34|34|REP United States Senator|Eric Hovde|132
City of Kenosha|Wards 34|34|REP United States Senator|Charles E. Barman|15
City of Kenosha|Wards 34|34|REP United States Senator|Rejani Raveendran|2
City of Kenosha|Wards 34|34|REP United States Senator|Write-In|0
City of Kenosha|Wards 34|34|REP Representative in Congress|Bryan Steil|143
City of Kenosha|Wards 34|34|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 34|34|REP State Senator District 22|Write-In|7
City of Kenosha|Wards 34|34|REP Representative to the Assembly District 65|Brian Gonzales|124
City of Kenosha|Wards 34|34|REP Representative to the Assembly District 65|Write-In|1
City of Kenosha|Wards 34|34|REP District Attorney|Xavier Solis|125
City of Kenosha|Wards 34|34|REP District Attorney|Write-In|0
City of Kenosha|Wards 34|34|REP County Clerk|Write-In|6
City of Kenosha|Wards 34|34|REP County Treasurer|Write-In|6
City of Kenosha|Wards 34|34|REP Register of Deeds|Write-In|8
City of Kenosha|Wards 34|34|CON United States Senator|Write-In|0
City of Kenosha|Wards 34|34|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 34|34|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 34|34|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 34|34|CON District Attorney|Write-In|0
City of Kenosha|Wards 34|34|CON County Clerk|Write-In|0
City of Kenosha|Wards 34|34|CON County Treasurer|Write-In|0
City of Kenosha|Wards 34|34|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 34|34|LIB United States Senator|Write-In|1
City of Kenosha|Wards 34|34|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 34|34|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 34|34|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 34|34|LIB District Attorney|Write-In|0
City of Kenosha|Wards 34|34|LIB County Clerk|Write-In|0
City of Kenosha|Wards 34|34|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 34|34|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 34|34|GRN United States Senator|Write-In|0
City of Kenosha|Wards 34|34|GRN Representative in Congress|Chester Todd, Jr.|1
City of Kenosha|Wards 34|34|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 34|34|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 34|34|GRN Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 34|34|GRN District Attorney|Write-In|0
City of Kenosha|Wards 34|34|GRN County Clerk|Write-In|0
City of Kenosha|Wards 34|34|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 34|34|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 34|34|State Referendum - Question 1|No|225
City of Kenosha|Wards 34|34|State Referendum - Question 1|Yes|151
City of Kenosha|Wards 34|34|State Referendum - Question 2|No|228
City of Kenosha|Wards 34|34|State Referendum - Question 2|Yes|151
City of Kenosha|Wards 35|35|Party Preference Section|Democratic|10
City of Kenosha|Wards 35|35|Party Preference Section|Wisconsin Green|2
City of Kenosha|Wards 35|35|Party Preference Section|Republican|2
City of Kenosha|Wards 35|35|Party Preference Section|Constitution|0
City of Kenosha|Wards 35|35|Party Preference Section|Libertarian|0
City of Kenosha|Wards 35|35|DEM United States Senator|Tammy Baldwin|9
City of Kenosha|Wards 35|35|DEM United States Senator|Write-In|0
City of Kenosha|Wards 35|35|DEM Representative in Congress|Peter Barca|9
City of Kenosha|Wards 35|35|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 35|35|DEM State Senator District 22|Robert W. Wirch|9
City of Kenosha|Wards 35|35|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 35|35|DEM Representative to the Assembly District 65|Ben DeSmidt|5
City of Kenosha|Wards 35|35|DEM Representative to the Assembly District 65|Kyle Flood|4
City of Kenosha|Wards 35|35|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 35|35|DEM District Attorney|Carli McNeill|9
City of Kenosha|Wards 35|35|DEM District Attorney|Write-In|0
City of Kenosha|Wards 35|35|DEM County Clerk|Regi Waligora|9
City of Kenosha|Wards 35|35|DEM County Clerk|Write-In|0
City of Kenosha|Wards 35|35|DEM County Treasurer|Teri Jacobson|9
City of Kenosha|Wards 35|35|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 35|35|DEM Register of Deeds|Jennifer Mack|9
City of Kenosha|Wards 35|35|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 35|35|REP United States Senator|Eric Hovde|1
City of Kenosha|Wards 35|35|REP United States Senator|Charles E. Barman|0
City of Kenosha|Wards 35|35|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 35|35|REP United States Senator|Write-In|0
City of Kenosha|Wards 35|35|REP Representative in Congress|Bryan Steil|1
City of Kenosha|Wards 35|35|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 35|35|REP State Senator District 22|Write-In|0
City of Kenosha|Wards 35|35|REP Representative to the Assembly District 65|Brian Gonzales|1
City of Kenosha|Wards 35|35|REP Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 35|35|REP District Attorney|Xavier Solis|1
City of Kenosha|Wards 35|35|REP District Attorney|Write-In|0
City of Kenosha|Wards 35|35|REP County Clerk|Write-In|0
City of Kenosha|Wards 35|35|REP County Treasurer|Write-In|0
City of Kenosha|Wards 35|35|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 35|35|CON United States Senator|Write-In|0
City of Kenosha|Wards 35|35|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 35|35|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 35|35|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 35|35|CON District Attorney|Write-In|0
City of Kenosha|Wards 35|35|CON County Clerk|Write-In|0
City of Kenosha|Wards 35|35|CON County Treasurer|Write-In|0
City of Kenosha|Wards 35|35|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 35|35|LIB United States Senator|Write-In|0
City of Kenosha|Wards 35|35|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 35|35|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 35|35|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 35|35|LIB District Attorney|Write-In|0
City of Kenosha|Wards 35|35|LIB County Clerk|Write-In|0
City of Kenosha|Wards 35|35|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 35|35|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 35|35|GRN United States Senator|Write-In|0
City of Kenosha|Wards 35|35|GRN Representative in Congress|Chester Todd, Jr.|2
City of Kenosha|Wards 35|35|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 35|35|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 35|35|GRN Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 35|35|GRN District Attorney|Write-In|0
City of Kenosha|Wards 35|35|GRN County Clerk|Write-In|0
City of Kenosha|Wards 35|35|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 35|35|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 35|35|State Referendum - Question 1|No|8
City of Kenosha|Wards 35|35|State Referendum - Question 1|Yes|5
City of Kenosha|Wards 35|35|State Referendum - Question 2|No|7
City of Kenosha|Wards 35|35|State Referendum - Question 2|Yes|6
City of Kenosha|Wards 36|36|Party Preference Section|Democratic|116
City of Kenosha|Wards 36|36|Party Preference Section|Republican|46
City of Kenosha|Wards 36|36|Party Preference Section|Wisconsin Green|2
City of Kenosha|Wards 36|36|Party Preference Section|Constitution|0
City of Kenosha|Wards 36|36|Party Preference Section|Libertarian|0
City of Kenosha|Wards 36|36|DEM United States Senator|Tammy Baldwin|115
City of Kenosha|Wards 36|36|DEM United States Senator|Write-In|0
City of Kenosha|Wards 36|36|DEM Representative in Congress|Peter Barca|107
City of Kenosha|Wards 36|36|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 36|36|DEM State Senator District 22|Robert W. Wirch|111
City of Kenosha|Wards 36|36|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 36|36|DEM Representative to the Assembly District 65|Ben DeSmidt|64
City of Kenosha|Wards 36|36|DEM Representative to the Assembly District 65|Kyle Flood|44
City of Kenosha|Wards 36|36|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 36|36|DEM District Attorney|Carli McNeill|107
City of Kenosha|Wards 36|36|DEM District Attorney|Write-In|0
City of Kenosha|Wards 36|36|DEM County Clerk|Regi Waligora|103
City of Kenosha|Wards 36|36|DEM County Clerk|Write-In|0
City of Kenosha|Wards 36|36|DEM County Treasurer|Teri Jacobson|105
City of Kenosha|Wards 36|36|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 36|36|DEM Register of Deeds|Jennifer Mack|102
City of Kenosha|Wards 36|36|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 36|36|REP United States Senator|Eric Hovde|42
City of Kenosha|Wards 36|36|REP United States Senator|Charles E. Barman|6
City of Kenosha|Wards 36|36|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 36|36|REP United States Senator|Write-In|0
City of Kenosha|Wards 36|36|REP Representative in Congress|Bryan Steil|47
City of Kenosha|Wards 36|36|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 36|36|REP State Senator District 22|Write-In|2
City of Kenosha|Wards 36|36|REP Representative to the Assembly District 65|Brian Gonzales|40
City of Kenosha|Wards 36|36|REP Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 36|36|REP District Attorney|Xavier Solis|39
City of Kenosha|Wards 36|36|REP District Attorney|Write-In|1
City of Kenosha|Wards 36|36|REP County Clerk|Write-In|3
City of Kenosha|Wards 36|36|REP County Treasurer|Write-In|3
City of Kenosha|Wards 36|36|REP Register of Deeds|Write-In|3
City of Kenosha|Wards 36|36|CON United States Senator|Write-In|0
City of Kenosha|Wards 36|36|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 36|36|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 36|36|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 36|36|CON District Attorney|Write-In|0
City of Kenosha|Wards 36|36|CON County Clerk|Write-In|0
City of Kenosha|Wards 36|36|CON County Treasurer|Write-In|0
City of Kenosha|Wards 36|36|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 36|36|LIB United States Senator|Write-In|0
City of Kenosha|Wards 36|36|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 36|36|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 36|36|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 36|36|LIB District Attorney|Write-In|0
City of Kenosha|Wards 36|36|LIB County Clerk|Write-In|0
City of Kenosha|Wards 36|36|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 36|36|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 36|36|GRN United States Senator|Write-In|1
City of Kenosha|Wards 36|36|GRN Representative in Congress|Chester Todd, Jr.|2
City of Kenosha|Wards 36|36|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 36|36|GRN State Senator District 22|Write-In|1
City of Kenosha|Wards 36|36|GRN Representative to the Assembly District 65|Write-In|1
City of Kenosha|Wards 36|36|GRN District Attorney|Write-In|1
City of Kenosha|Wards 36|36|GRN County Clerk|Write-In|1
City of Kenosha|Wards 36|36|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 36|36|GRN Register of Deeds|Write-In|1
City of Kenosha|Wards 36|36|State Referendum - Question 1|No|97
City of Kenosha|Wards 36|36|State Referendum - Question 1|Yes|59
City of Kenosha|Wards 36|36|State Referendum - Question 2|No|106
City of Kenosha|Wards 36|36|State Referendum - Question 2|Yes|54
City of Kenosha|Wards 37|37|Party Preference Section|Democratic|123
City of Kenosha|Wards 37|37|Party Preference Section|Republican|63
City of Kenosha|Wards 37|37|Party Preference Section|Libertarian|1
City of Kenosha|Wards 37|37|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 37|37|Party Preference Section|Constitution|0
City of Kenosha|Wards 37|37|DEM United States Senator|Tammy Baldwin|124
City of Kenosha|Wards 37|37|DEM United States Senator|Write-In|0
City of Kenosha|Wards 37|37|DEM Representative in Congress|Peter Barca|119
City of Kenosha|Wards 37|37|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 37|37|DEM State Senator District 22|Robert W. Wirch|122
City of Kenosha|Wards 37|37|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 37|37|DEM Representative to the Assembly District 65|Ben DeSmidt|72
City of Kenosha|Wards 37|37|DEM Representative to the Assembly District 65|Kyle Flood|45
City of Kenosha|Wards 37|37|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 37|37|DEM District Attorney|Carli McNeill|116
City of Kenosha|Wards 37|37|DEM District Attorney|Write-In|0
City of Kenosha|Wards 37|37|DEM County Clerk|Regi Waligora|111
City of Kenosha|Wards 37|37|DEM County Clerk|Write-In|0
City of Kenosha|Wards 37|37|DEM County Treasurer|Teri Jacobson|114
